iter	Passed	Remaining
0	116	116373
1	117	58762
2	119	39827
3	120	30105
4	122	24283
5	123	20438
6	124	17639
7	125	15554
8	126	13927
9	127	12616
10	128	11569
11	129	10692
12	131	9946
13	132	9311
14	133	8798
15	135	8305
16	136	7877
17	137	7488
18	138	7138
19	139	6822
20	140	6540
21	141	6298
22	142	6070
23	144	5856
24	145	5663
25	146	5475
26	147	5314
27	148	5161
28	149	5014
29	150	4880
30	151	4748
31	152	4624
32	153	4510
33	154	4397
34	155	4294
35	156	4198
36	158	4113
37	159	4027
38	160	3943
39	161	3872
40	162	3799
41	164	3755
42	165	3690
43	166	3627
44	168	3565
45	169	3508
46	170	3457
47	171	3404
48	172	3354
49	173	3302
50	174	3252
51	175	3207
52	176	3162
53	179	3139
54	180	3101
55	181	3063
56	182	3023
57	183	2985
58	184	2947
59	186	2914
60	187	2879
61	188	2846
62	189	2814
63	190	2784
64	191	2755
65	192	2724
66	193	2695
67	194	2671
68	195	2643
69	196	2616
70	198	2592
71	199	2567
72	200	2542
73	201	2517
74	202	2494
75	203	2472
76	204	2449
77	205	2428
78	206	2407
79	208	2393
80	209	2375
81	210	2356
82	211	2331
83	211	2311
84	213	2293
85	214	2275
86	215	2263
87	216	2245
88	217	2225
89	218	2208
90	219	2192
91	220	2176
92	221	2162
93	223	2153
94	224	2141
95	225	2126
96	226	2112
97	227	2097
98	228	2081
99	229	2068
100	230	2055
101	232	2043
102	233	2031
103	234	2018
104	235	2008
105	236	1996
106	237	1984
107	238	1973
108	239	1961
109	240	1949
110	241	1936
111	242	1923
112	243	1912
113	244	1901
114	245	1889
115	246	1877
116	247	1865
117	248	1854
118	249	1844
119	250	1833
120	250	1822
121	251	1810
122	252	1803
123	253	1794
124	255	1785
125	256	1776
126	256	1765
127	257	1757
128	259	1749
129	260	1741
130	261	1732
131	262	1723
132	262	1714
133	264	1707
134	265	1699
135	266	1692
136	267	1685
137	268	1677
138	269	1669
139	270	1661
140	271	1653
141	271	1643
142	272	1635
143	273	1627
144	274	1619
145	275	1612
146	276	1605
147	277	1599
148	279	1594
149	280	1588
150	281	1581
151	282	1575
152	283	1569
153	284	1562
154	285	1556
155	286	1549
156	287	1543
157	288	1537
158	289	1531
159	290	1524
160	290	1516
161	291	1509
162	292	1504
163	293	1498
164	294	1491
165	295	1486
166	296	1481
167	297	1475
168	298	1469
169	299	1464
170	300	1458
171	301	1452
172	302	1447
173	303	1441
174	304	1436
175	305	1431
176	306	1426
177	307	1421
178	308	1417
179	310	1412
180	310	1407
181	311	1401
182	312	1396
183	313	1390
184	314	1385
185	315	1379
186	316	1375
187	317	1370
188	318	1365
189	319	1360
190	320	1355
191	321	1351
192	322	1347
193	323	1342
194	324	1338
195	325	1334
196	326	1329
197	327	1324
198	327	1319
199	328	1315
200	329	1310
201	330	1306
202	331	1301
203	332	1297
204	333	1293
205	334	1289
206	335	1285
207	336	1281
208	337	1277
209	338	1273
210	339	1270
211	340	1266
212	341	1262
213	342	1259
214	343	1255
215	344	1251
216	345	1247
217	346	1242
218	347	1238
219	348	1235
220	349	1231
221	350	1227
222	351	1224
223	352	1220
224	353	1217
225	354	1214
226	355	1211
227	356	1207
228	357	1204
229	358	1200
230	359	1197
231	360	1193
232	361	1190
233	362	1187
234	363	1184
235	364	1180
236	365	1177
237	366	1175
238	367	1171
239	369	1169
240	370	1166
241	371	1162
242	372	1159
243	373	1156
244	374	1152
245	375	1149
246	376	1146
247	376	1142
248	377	1139
249	378	1135
250	379	1132
251	380	1129
252	381	1126
253	382	1123
254	384	1123
255	385	1120
256	386	1117
257	387	1114
258	388	1111
259	389	1107
260	390	1104
261	391	1102
262	392	1099
263	393	1096
264	394	1093
265	395	1092
266	397	1090
267	398	1089
268	400	1087
269	401	1085
270	402	1082
271	403	1080
272	404	1078
273	406	1076
274	407	1074
275	410	1077
276	412	1076
277	413	1073
